Uid;Reference_code;Retail_price;Retail_Currency;Brand_name;Date
126;PAM02973;11000;USD;Panerai;2021-10-31
127;PAM02973;10050;EUR;Panerai;2021-10-31
128;PAM02973;10150;EUR;Panerai;2022-06-30
129;PAM02973;13250000;KRW;Panerai;2022-10-31
130;PAM02973;12000;USD;Panerai;2022-10-31
144;PAM04456;55000;CNY;Panerai;2021-10-31
145;PAM04456;52000;EUR;Panerai;2022-10-31
146;PAM04456;57000;CNY;Panerai;2022-10-31
147;PAM04456;43500;USD;Panerai;2021-10-31
148;PAM04456;45000;USD;Panerai;2022-10-31
876;M25407N-0001;95000;USD;Tudor;2021-08-30
877;M25407N-0001;99000;USD;Tudor;2022-01-31
878;M25407N-0001;700000;CNY;Tudor;2021-08-30
879;M25407N-0001;720000;CNY;Tudor;2022-01-31
